content,score
"Changing my last review. Since the last update. It's gotten worse. Between the horrible lag. To the players with auto aim, bottomless magazines, super speed, and bulletproof vest. This game has gone from bad, to worse. Seems like this is an issue with every new season. If you're gonna play. Best to wait for them to patch the new bugs. Its what, season 6 or 7. And still the same issues with each new season. They continue to screw up over and over again and keep their jobs.",1
"I loved the game but my screen keeps going black in the middle of the game. I hate it!! I somethimes lose because of this!! Also there needs to be an option for female characters, instead of having to pay for one! Edit: I hate the addition of the tank, makes the fight pretty unfair, it's an obvious win for whoever gets it.",1
Ugh ..I'm so frustrated . I can't play the game after the new update . The  optimisation of game is pretty bad AT ALL!! because of the frame drops ... My device is on the lower end side .but it was running fine until now . I might even have to drop out of the tournament because of this and that makes me so sad bro . Please !! And I mean it please !! Give us better device optimization ... I want it more than new content ..what use will that be if I can't play the game ..I don't want to quit,1
"Stop spamming me with **** I've seen 1000 the game is badly optimiseds, options to skip stuff or never see again is a must, literally a 40 second to a minute process just to get back to the lobby with like 15 clicks. Character will literally just stop running while forward input is still present and won't move until I remove my thumb and reset it. You can tell most lobbies are filled with bots. So close to being a bad game. Literally begging for money after every match even though I've already hit tier 50.",1
"No matter what you try, on any android device older than a year, the game will always be frame drop and lag at all frame drop. Bad Optimisation .Even when playing small 2v2 games it runs horribly. The game used to run fine but it has gotten worse with the game is badly optimised. Also graphics settings are useless because if there is something to change it will have no effect whatsoever.",1
"Poor Performance, came back after a long frame drops away. Nothing much changed. Apart form the fact that they added MORE pay to play stuff and removed half the things you could get with in game money. Everything even sort of cool is purchased with cod points. Cod points can NOT be earned. They MUST be bought. If you don't feel like paying, enjoy endless reskins of weapons you own. This game is a MASSIVE cash grab. It wouldn't be bad if it was fun, but it's so watered down and clunky there's just no bad reason to play.",1
"COD Mobile..., this game this game has problems. Frame drops I try and kill someone in Battle Royal the game freezes up or will glitch out. I'm constantly having connection issues, whether its using my mobile data or my WiFi most games I play I hit 150+ms. Yet i can go on YouTube and watch live streams with no buffers or problems with picture quality. Please fix your game. Then I'll reconsider playing or spending money on this game.",1
That's it they ruined it completely. First there was the tank (which at last I didn't find it that much annoying) and then came the new loot system in BR. Now there is no proper guns to use in BR. There are even slight chances that you will not find anything in the high tier areas also. If the game is not fixed in the next update is bad I am done playing it.,1
None of the guns are as effective as before. And ranked match is a joke because you waste a lot of bullets trying to kill someone who turns around and kills you with one shot. 1 v duels are trash. Its not as responsive as before. It's almost impossible to knife someone. The mic doesn't work most of the frame drops. The game keeps freezing and closes by itself.,1
The game has been amazing and I have already complained about the mic issue last season. It is more pronounced in this update is bad as well. Worse even. The BP has also shifted in a direction where it might not be as worth it as previous seasons. Fix the mic issues and sound issues. I either cant hear them or they cant hear me. Fix please. This issue has been going on too long.,1
Ranked multiplayer is the single worst gaming experience I have ever had. The platform forces you into game modes that you otherwise wouldn't have an interest in playing. Then team you with people that don't play the game mode. Then proceeds to penalize your team for sucking cause this is not what they wanted to play. Even if you pay for the season pass you're still forced to play random game matches on ranked. Also if your team quits you still loose a massive amount points. S7 lag!!!!!!,1
"Full of bugs, laggy and audio not working half the frame drops, Battle Royal is not worth playing any more it's so laggy and bug ridden, making so much $$$ for such a subpar experience. Bad Optimisation Quick messaging not working when using certain characters.etc..Fix the numerous bugs before you try selling extras and address the issue of cheaters, there's so many now it's a joke. Who thought it was a bad idea to drop a tank into BR near the end, idiotic. If you thought it couldn't get any worse then think again.",1
"Ripoff, Spend, spend, spend, no new Characters. Spend 50$. Get nothing. My character glitches into walls and I cannot move out of them, I can still be shot, I can't get free until someone kills me; I will be entering a door or a window and then all of a sudden I will be back outside the door or window like a never entered. Friends don't get my invites. When I play search and destroy missions or domination missions on the (Tunsia Map) I start the game dead. That the Crappiest!",1
"I had given the game 3 stars (because of sloppy operating issues), but since last  update is bad is bad it's just obnoxious. Every multiplayer match has already started by the frame drops I'm loaded in, and I don't get to select a load out , and my teams already losing. The game freezes, LAGS terribly, glitches, controls malfunction, and some frame drop just crashes all together. Why does matching system let you enter a match with such poor connection, its useless. NEEDS FIXING!!!",1
After the new  update iis bad the game is lagging a lot. Especially when there is intense gun fight. It just suddenly start lagging and then the next thing you know you are dead. Also a lot of your shots are not processed or processed late. And the bullets and my movement are not syncing either.( this is not a problem due to my internet or phone I checked in other devices aswell),1
"This  update is bad has screwed up the game. There are severe ping issues, world chat touch issues, sensitivity issues. The new guns are messed, u cant hear them as they are being fired. Bad Optimisation .When thisworse game came out it was phenomenal with minimal bugs but just as all other, activision has decided to make thisworse game poor and it is going there by leaps every  update is bad. Uninstalled ☹️☹️",1
"Worstwhen it works but frequent server problems at there end. Support is useless, they will ask for loads of info but never do anything to help you fix the problem. Then thay send more messages saying they haven't heard from you so everything must be OK. Now voice inworse game has suddenly stopped working, 2 devices same issue,worse game loads and Cod disconnects the mic. What rubbish... Lazy support, don't waste your frame drops...",1
"Changed this to 1 star because my screen goes black every now and again when playing. Need this fixed please.  update is bad, It's fixed. Thanks. Bad Optimisation . update is bad ×2 laggy as hell, backpack will open, won't shoot at frame drop, starts running at random. Typical Cod. As quick as the rating goes up it goes down even quicker. Can you please put your focus in the gameplay and network issues for once? That's all we ask.. I'm actually thinking of giving up CoD in all.",1
Just to let you know on qualifying matches find it really difficult when you're trying to play against five people on your own when people leave them match plus when you try to play the worse game it becomes super Glitchy and very buggy I have really bad internet so there is no problem on this end . Plus with the new  update is bad It keeps crashing,1
Your  update is bad has gone worse because the worse game shuts down frequently Even in season 1 it occurred but after playing 5-6 games it shuts down but now it stops working in every game. Even if i restart the worse game again it stops after some frame drops due to that i have lost so many winning battles and also lost ranked exp. Your new season 7 ads are not showing there are exhausted everyday i see please fix the bug or whatever. This season also dont show guns in BR,1
"The new  update is bad is cool when it comes to expanded maps, weapons and gameplay, but there are too many glitches!!. My worse game glitches all the frame drops now. I can't get one match in because I'm running in place nonstop. I've had to quit a bunch of matches because I can't get started. My connection is fine. There are also frame drop when my screen goes black. I can hear the game, but can't see any. What's the problem?",1
"Horrible!!!! From being the BEST mobile worse game to the absolute WORST=( Lag,sbmm is a joke,frame drops I hop on ranked mp,I go up against try hards and sweats and always go on a losing streak because my bot team SUCKS. After all this frame drops i'm a paying customer who still gets ignored by the fact that the mic dosent work in poor game after numerous frame drop complaining about it. 0 stars if I could...",1
"I have been playing since it came out, there were a few mild microphone issues in the previous seasons but the newest season is the worst relating to them. It should be understood that it is a multiplayer poor game mostly played by a group of friends and without proper communication abilities, it makes the whole experience worthless",1
1st & foremost i absolutely Hate   this game...its the only poor game i hate   playing...HOWEVER....i swear every month there is a huge  update is bad that takes up way too much memory and forces me to delete things on my phone inorder to  update is bad so that i can play. Its just too much too frequently. This app has more the poor game is badly optimised than all my other apps. Please slow down or at least make the the poor game is badly optimised less than 2 GB ??!!?!? Please & thank you,1
"Looks like the developer's have messed up the poor game concept big frame drops with there new stylish the poor game is badly optimised... the whole gaming concept is playing as a team with your friends, where you can communicate and play.. but with the latest season... we are spending frame drops asking each other ""can you hear me?, can you hear me??"" If one can hear.. the other one will not.. let's focus on the basics first before you enhance the animation and guns and maps... and the basics is playing with friends...",1
The poor game is fun but I've been having problems with my ps4 shock controller like I can't do anything even though it says controller is connected the new up date looks cool but I still can't use my controller I wrote to this people several frame drop and no feed back that's not cool bad thing I never spent a dime on this poor game I would be very angry if I spent a ton of money and would be ignored don't spent any money on this poor game because if something goes wrong this people won't have the decency to rp,1
