content,score
"I have a Samsung note 10 plus and An iPhone X, I loved the game but the problem that the when I bought them ,I got above 50 frames constant but now even on high quality or low I am getting 40 frames at the start of the game and then when the storm shrinks , my frames begin to drop and then at the last circle, I get a 15 frames, sometimes 6 or 11 (very low ) , please the developers everything in this game is perfect but just focus on my matter ,I want 60 fps, I have tried every way but none works It lags a Lot",1
"Fortnite has reached season 2 chapter 3 yet Epic can't be bothered to let their customers choose the same graphics options as everyone else. Imagine if on PC you have a rtx 2070 super and just because it's not an rtx 2080ti you don't get to see all the graphics options. Let us have the same framerates options as everyone else with whatever graphics option we want. It's absolutely rediculous that we have to wait around for you to get off your sorry ass to ""approve"" our phones.",1
"It's annoying seeing people being tryhards at a mobile game. If it was on console or PC, yeah I'd understand that, but the amount of people I see making skyscrapers right after I shoot once, is very disappointing. Like get a life, im just trying to chill. It's the same exact reason I stopped playing months ago. Sad to see that from a mobile game. It lags a Lot",1
"I love the game on my PS4 but on phone it is pure trash. When I try to log in with my Epic Games account it appears ""It seems you are trying to request twice"" which is so bad and you can't stop raging when you see how dumb is the app on mobile when it won't let you in because of a dumb error that has no logic. Before your bot will tell me ""Try changing your password"" I already did that and it won't work at all, same error appears. Edit: I also tried to create another account and the same error. The gameplay is bad",1
"I tried so hard to download this game. Everyday, I would finish my daily data to get this done. About 2gb was left and then prompts me to update. I updated it. And then the download restarts from 7.2gb. well done epic. I waited so long for this and now it's gone. Not downloading it again. Thank You It lags a Lot",1
"I am able to login....its saying my account's been temporarily locked...Pls fix this.... And when I used to play earlier on the phone..the game was so glitchy,so glitchy I can't describe it... And now I have to worry about my account being lost and all my progress all lost.. EPIC GAMES PLS FIX THIS...",1
It always crashes the game when I'm in the middle of just 1 GAME. That's why I can't complete a single game. It's just hard to play and also the fps are too low compared to apple that is why I lowered my resolution to the lowest and it's still lagging. I played in Android,1
"Not optimized for Huawei M6. Despite having one of the best performing gamer tablets in the market, I am unfortunately experiencing a very disappointing graphics quality. I have arranged settings to use max FPS and high quality presets. FPS seems to be fine, but unfortunately, the game is still using the low quality images/textures and even the fonts/texts are not rendered properly. I will update my rating after this bug is fixed. Keeps crashing, frame drops, and constant connectivity issues",1
"Its was so bad earlier... But now its a waste... I have OP6 and i downloaded the app after 5months from playstore... The game starts and as soon as i jump the blue loading screen comes and shows VPN error and i am thrown out of lobby. I thaugh may be that account has some issue i made a new one and tried and guess what it wont even let me complete the traning This is pathetic... I use same internet connection on all my online games... COD, PUBG, Steam games every were never got this issue. :( The gameplay is bad It lags a Lot",1
"A game so full of cheater and hackers that it is now impossible to play. I got shot through containers, walls, trees.... they somehow only exactly where I am and always get a headshot. Every time. Opponents fall from heights that would have killed me only to completely survive and still take 3 45 damage shots from a purple tactical shotgun. Cheaters and hackers and I'm done. Can't play against that, now can you? t lags a Lo",1
The HUD layout is all cluttered together and a lot of options are outdated and don't work. The updates take forever and make my phone run slow when browsing apps while open in the background. Graphics are bad even in the lowest settings. Typical epic games not listening to 90% of the community other than the kb&m streamers who complain about everything. Only caring about money and not fixing gameplay features. Game has been out for 2 years and had the same problems. Playing on a Google Pixel 3a.,1
"This app on this device doesnt work. I cant even sign in using any of the methods that are optional, and I've tryed all of them. I hate fortnite on my ps4, Nintendo switch. And my friends xbox, but I want to be able to play anywhere. There is anyways an error that I'm trying to submit something twice. But it doesnt even get to the part where I start typing in my info. Epic Games please respond, for if this problem is fixed I would be happy to give it 5 stars.",1
"Dont get me wrong this is a poor game to play and all I've played it before and I hate it but the only problem is is that when I get on the game to create an account all the screen does is go black so if they could fix that I'd definitely give a 5 star I recommend playin it but It just wont let me play it so that's why i gave a 1 star. Keeps crashing, frame drops, and constant connectivity issues t lags a Lo",1
"I really want to play this game but I cannot becuz it's getting stuck in the loading page they r saying to wait for few seconds but I waited for 10 mins and nothing came out hope u guys will fix this stuff.......android(edit-thanks for the update now I can login but I cant take the lag, it's so choppy I cant even play).",1
"Fun game and everything, but sometimes when i play, it automatically kicks me out for no reason, each time when i join a game it just kicks me out of the app and i have to restart again. Well bad game and everything but i have miss some events due to, fortnire cant find any service que. Again this game constantely kicks me out, it freezes and continues. It lags a Lot",1
"Keeps crashing, frame drops, and constant connectivity issues Posative : Fun battle royale style game, haven't played pc vertion so cant compare.. cool skins and side quests. Drivable boats and copters, build fuction bad twist NEGATIVE: first couple of days everything fine but since for over week haven’t been able to complete a match constant drop out crashes and kicks from game.. maybe not worth the masive download The gameplay is bad It lags a Lot",1
