content,score
"I turned the 5 star to a 1 star. The game is all about money now. I have been playing this for 2 yrs. The company itself is selling hacks. If you buy them, you are the winner. No matter how many people reports against a gamer, the player wont get banned. The reports wont even show in your id. But Pubg makers wont care as long as they are making money. Hackers laugh at your face if you warn them. Its an absolute waste of a game now. Well, you cant expect fair products from Chinese companies.",1
"Don't even bother downloading the game. It's literally full of hackers who will shoot you through walls from 400+ meters away. The developers don't care about removing the hackers because if they do, they'll loose money. Proof of this is on the leaderboards. Well over 70% of the conquerers are blatantly hacking their asses off and they know they'll never get banned cos they spend money on the game and if tencent bans them, they'll loose out on all that money. Fix your game!!!",1
The game has become too full of glitches...and the server doesn't respond at all..I have a bad internet connection..but then too..the game lags..over and over..fix the issue fast....after looking into the comments..I could understand that many are facing the same situation...don't keep on putting new stuff....fix the issues first.....and the hackers are increasing day by day...do something abt it .if u have the balls to do so.,1
"It's a decent game, just really bad implementations on certain things. For example, my wife, and I had a baby, and so I had stopped playing the game for about a month or so, I got back on the other day to check on my clan, you know the one that I had made, the one that I, and several others built from the bottom up, had changed leadership status to one of my friends account that h no longer even plays because he doesn't even have access to the account/player that the clan changed leadership to.",1
"The game servers are glitched now. Even with low ping there is de-synch, the game lags a lot when enemy is nearby even on Snapdragon 845 phone.There are many glitches bugs and hackers in the game From a gaming perspective this game is for the high end flagship devices only. Others are getting filtered out. Tencent never addressed the lag issues and never will as long as people continue to open crates worth nothing. Every game eventually dies out. Worst game pubg had its time. Now something else will come up soon. Stopped playing after 11 seasons. Badbye.",1
"Too many hackers. Solo and duo is becoming unplayable, because I frequently encounter hackers even though I am only in PLATINUM TIER!!! Wanted to buy RP but decided against it because of all the hackers and cheaters. The game developers are not doing anything against them even though they say they do. Even the leaderboards and their turnaments (CREW CHALLENGE) are full of cheaters!",1
This game has been one of the best games that I've ever played in my entire life but now it's become one of the most frustrating and shittiest I have ever played. Firstly what's the deal with ur game going all stutterie and glitchy when an enemy is nearby?? Seriously. It happens all the time. Secondly what's with the A.I. Bots in the game?? There r literally thousands of gamers world wide. U guys have really degraded yourselves from being on of the best games to being one of the worst.,1
"Aweful Experience..! There are lot of moD(cheaters) in the game and as a Worst game pubg code developer someone can fix this via linking the account to either google or fb. But which is not clearly happening. - Game Idea, graphics and lot of things are great. - But what if all that suppressed by lot of bugs and glichs. - Can not even elliminate the cheater which will be i think simple to remove by new update but not happening. By doing so the moral of gameplay is clearly commited.",1
"You guys wrecked PC version and now u are doing exactly the same, skins skins skins, no bugs fixed, no optimization no improvement. There are many glitches bugs and hackers in the gameMore skins and weapons, and vehicles meaning more bugs and more fps drop. When will you ever understand that not all players can buy pass very often and many don't have even mid range phone. Even the light version lags a lot on ur MINIMUM specs requirements. This game will die, like pc and then new games will emerge. And 30% fan base left, match making full of bots",1
"I play this game for a long time and this is the only game I am playing on my phone but here we go Another update and lots of bugs, 1. Showing your friend available but he is already in match for 10 minute, 2. Your friend is available but it's showing that he is in match for 1hour and 10 minutes. This is the most common one for everyone who update worst game pubg lately. another problem is mic. when you on and off the mic few times then other players can't hear you until you'll restart the game.",1
"Mike glitches are too often. Need to restart the game in the middle of the match to communicate with teammates. At first I thought my earphone is broken but it happens with brand new ones too, and a lot of my friends are also facing the same problem. Moreover, when someone is matched with other players or is inside a match, it still shows the person as idle. Mike glitches, more importantly, ruins the gaming experience and I don't really think I am going to play it until it is corrected.",1
I've been playing this game since the beginning and now at season 13 I've come to a point of leaving it. I dont know what tencent has been doing againts hackers because I've reported them a thousand times but nothing happens. in every lobby there are a couple of hackers which ruin the game. And their numbers are increasing day by day . Tencent now is the time to take serious action against them or this game will lose its popularity in a couple of seasons.,1
THE GAME IS HORRIBLE !! U guys just want to earn money from rp. There have been 13 seasons till now and I don't see any bug fixes. There are cheaters in every match. The main thing in this game is that the NETWORK SERVER ERROR. I have been in situations where I have died just because of that network error. I know this comment is going to fall on deaf ears.but I hope the devlopers pay attention to the bugs and fix them.,1
"There is no doubt that this is one of the best mobile game. But i am playing this game from Melbourne, Australia in asia server with ping 250+. There are many glitches bugs and hackers in the gameI just want to recommend you to introduce a oceania server so that people from australia and NZ can enjoy it otherwise playing with such high ping is useless. Hope you will consider it as a serious matter on which u must take action. I am playing this game from season 3 and it deserves 5star if u guys introduce oceania server.",1
"I'm a season 2 player the game is awesome, but do have a few problems, 1 the ingame sound that stops working for no reason, 2 the outfits is mostly just for girls, 3 the hackers are getting more and more if you report them it takes to long befor they get band, hackers are getting out of control on due and squde especially on Europe server, and finaly we do need our own South Africa server please this high ping is killing us",1
"Hello makers, this game is amazing from the beginning,but it's enough now, this issue or lag is faced by everyone till now. When we ends up a game , the speakers and mic of one of the player stops working. Then he have to restart the game to resolve it. And today, my mic just stopped working in the running game, due to which my teammates ended listening to me, and i got killed😖. Please respond to this issue. It's very important! Thankyou.",1
This game has become really very worst now. Before it used to work really great but now in the middle of the game the ping goes from 28 to more than 100ms.There are many glitches bugs and hackers in the game I don't have a network problem in my home i have a 4g connection. Don't reply me by saying that you should check the network coverage in your area. It's not the problem from my side but it's a problem from your side. Please rectify it.,1
What the on earth is wrong with this game. It's to laggy. The more I go front I come back to the last location. This problem was not before. I have checked my internet connection. It is bad. There's something wrong with your game only. I can't even drive the helicopter properly. It goes round and round. I switched to call of duty. It works really well. I really don't know the last time I played it perfectly. Why m I not getting logged in man. I am trying to start the app from 3 days.,1
"When I first played this it's really bad, even now. But these cheaters exist they literally breaking the game. There are so many bugs. This game is Bad but its just that you're not banning a cheater. It seems like you're PROTECTING them. I reported at least 3 people using hacks. Such as wall hack,bullet cheat(one hit) and a aim bot. But you're not doing something about them. This game will be over just because of your cheaters.",1
"I find it hard to believe that this is a ""fair"" game. For nearly every single match I enter, it's always a mismatch. Veteran opponents (ace, etc) despite the fact that I'm in platinum and noob teammates. If it was just every once in a while, I might just shrug it off but it occurs in nearly EVERY SINGLE MATCH I enter. I'm level 52 and nearly all my opponents are lvl 60 and 70. How is that fair? If only the players on the upper end are favored in this game, don't bother calling this a ""fair"" game",1
"This game was awesome, you can hv fun with your kid or your friends. But now it's so wrong in so many ways; lag, unstable ping rate (you can go from 30 to 300 in a blink of an eye), cheaters, hackers, the non-existent so called customer service, you name it. And today 6/4/20 i can't even open this app. It just blurred images and then the screen stops responding. I do have a very stable internet connection, so you can scratch that from your excuse.",1
"The game in itself is amazing and my favorite, but it's impossible to play anymore since every second game you run across cheaters and hackers that take the fun out of it all. I report them all but so far I've been notified only twice that they've been banned. And the new update screwed up the audio, sometimes my teammates can't hear me and viceversa. As soon as this is fixed I'll rate 5/5. Please fix this ASAP so we can continue to enjoy this game.",1
"My review is just like any other review. Hackers, glitches and bugs like microphone glitch, removal of mini zone dosent let us practise like in erangel upm9 to 45 which was one of the worst things ever. And if we go to the report section I dont know how many hackers I've come across and reported, but you never seem to ban them. Especially when you guys show in your ads that we need fair play. Many hackers are online and you dont seem to do anything with them. Honestly, it's getting worse.",1
"Hey, Pls Fix The Game, Instead of Focusing on profit why don't you guys try and actually ""fix"" the game, I've only been playing for the pass 6 months and I Already Hate Everything about this Game, Maybe if you guys would try to fix some bugs in the game, and try to actually get rid of hackers, I mean.. My god every week there's a new crate that cost 1k+ UC, And could you guys create something where players can share their ideas on how to improve the game,There are many glitches bugs and hackers in the game",1
The game is bad no doubt. But I facing a serious problem in game from May . The problem is that went I fire on enemy I am freezes .I can't move . I cannot change position when I am firing .Even when I open scope this happen. Please please fix it . I reported it but you are not replying . My rank decrease. I come at platinum from crown 1 . Help me .,1
"The game is bad.But there is one thing that makes it impossible to win for me.Everytime i shoot at someone in close range it gets SO laggy to the point where i dont even have a reaction time.in squad mode,i always get trash teammates They always land in a place where many players land.Next thing i know POOF all of them Dead,Like im the only one left,to the point where i just quit the match because its obvious that i aint winning.0 wins in a season because of trash teammates.",1
"I am utterly disappointed. If there was an option to give 0 stars, I would have done that. It's not because the game is bad but because the developers are too lazy to provide regular patches in the game. There are way too many hackers in the game, I can't get past ace. See, this is the reason I like fortnite better because they provide weekly updates so there are virtually 0 hackers in the game. There are many glitches bugs and hackers in the game",1
"I want to love this game. But I can't when it's unplayable in classic mode. The app crashes at LEAST once per match (its happened upwards of 4 times in one match) in classic making it nearly impossible for me to complete one match when i have to relaunch, wait for it to load and re-enter. This app is a FAIL if you want the full game experience. However, it does not crash in arena or arcade.",1
"One star despite the fact it's bad game but you put a lot of money and time into this game and still you have no protection against hackers who sabotaging the game except a report which I'm personally keep doing it for last 2 years and I see ZERO improvement in this manner. I would like to add that after one month of writing this review, today me and my team got killed 3 times in row by hackers, what a mess.",1
